RG;Nome;Descrição;Peso;Idade;Altura;Telefone
123456;Maria Silva;Dor de dente;45kg;16;1,55;(19)1234567
789101;João Alvez;Dor abdominal;87kg;32;1,72;(19)1874568
123678;Camila Soraes;Enxaqueca;69kg;41;1,62;(19)1220469
987543;Marcelo Gomes;Gastrite;89kg;35;1,78;(19)1232570
513698;Alice Dias;Dor no olho;54kg;22;1,59;(19)6875571
623456;Alvaro Macedo;Braço quebrado;109kg;64;1,85;(19)1234572
793864;Ronaldo Sousa;Diabete;98kg;50;1,94;(19)1294463
825343;Cleiton Beira;Torção;65kg;39;1,76;(19)1234874
994747;Rogério Oliveira;Artrite;73kg;61;1,81;(19)1284575
102442;Lucia Franco;Dor nas costas;92kg;37;1,87;(19)1765476
117652;Gabriela Pereira;Enxaqueca;67kg;56;1,63;(19)1298677
122426;Isabela Ferreira;Diabete;81kg;87;1,68;(19)1234578
131235;Beatriz Jachetto;Atrite;66kg;44;1,76;(19)1234579
145678;Livia Bolsonaro;Gastrite;98kg;90;1,87;(19)1234580
152348;Ana Mendes;Torção;42kg;54;1,58;(19)1234581
